SKU;ID fila;ID Orden;Fecha Orden;Prioridad;Cantidad;Ventas;Descuento;Tipo de Envío;Nombre del Cliente;Provincia;Segmento del Cliente;Fecha de envío
31;332;2277;1/1/2011;No Especificado;21;845,32;0,06;Aereo Regular;Don Miller;Nunavut;Oficina en Hogar;3/1/2011
32;362;2532;10/10/2011;Alto;39;282,07;0,03;Aereo Regular;Alan Barnes;Nunavut;Corporativo;11/10/2011
33;363;2532;10/10/2011;Alto;24;426,037;0,01;Aereo Regular;Alan Barnes;Nunavut;Corporativo;11/10/2011
34;381;2631;23/9/2010;Bajo;27;1078,49;0,08;Aereo Regular;Jack Garza;Nunavut;Corporativo;25/9/2010
35;406;2757;19/7/2011;Critical;39;3554,46;0,07;Terrestre;Julia Oeste;Nunavut;Corporativo;19/7/2011
36;413;2791;9/10/2009;Alto;47;191,67;0;Aereo Regular;Eugene Barchas;Nunavut;Corporativo;9/10/2009
37;414;2791;9/10/2009;Alto;49;5586,33;0,09;Terrestre;Eugene Barchas;Nunavut;Corporativo;11/10/2009
38;415;2791;9/10/2009;Alto;18;507,64;0,1;Aereo Regular;Eugene Barchas;Nunavut;Corporativo;10/10/2009
39;440;2976;9/12/2010;No Especificado;30;14223,82;0,09;Terrestre;Edward Hooks;Nunavut;Consumidor;11/12/2010
40;471;3232;8/10/2012;Critical;5;42,66;0,06;Aereo Regular;Brad Eason;Nunavut;PYME;10/10/2012
41;513;3524;2/5/2012;Alto;21;427,32;0;Aereo Regular;Nicole Hansen;Nunavut;PYME;3/5/2012
42;577;3908;8/3/2010;Medio;8;820,284;0;Aereo Regular;Dorothy Wardle;Nunavut;Corporativo;8/3/2010
43;606;4132;28/5/2011;No Especificado;5;14,76;0,01;Aereo Regular;Aaron Bergman;Nunavut;Corporativo;30/5/2011
44;656;4612;19/9/2010;Medio;9;89,55;0,06;Aereo Regular;Jim Radford;Nunavut;Corporativo;21/9/2010
45;669;4676;31/8/2011;Alto;11;1210,0515;0,04;Aereo Regular;Annie Cyprus;Nunavut;Oficina en Hogar;1/9/2011
46;670;4676;31/8/2011;Alto;50;187,83;0,03;Aereo Regular;Annie Cyprus;Nunavut;Oficina en Hogar;2/9/2011
47;671;4676;31/8/2011;Alto;3;49,59;0,07;Aereo Express;Annie Cyprus;Nunavut;Oficina en Hogar;2/9/2011
20;672;4676;31/8/2011;Alto;30;4253,009;0,01;Aereo Regular;Annie Cyprus;Nunavut;Oficina en Hogar;1/9/2011
3;734;5284;8/7/2011;No Especificado;7;59,38;0,1;Aereo Regular;Annie Cyprus;Nunavut;Oficina en Hogar;10/7/2011
48;735;5316;30/1/2009;Critical;42;1285,37;0,1;Aereo Regular;Clay Rozendal;Nunavut;Corporativo;1/2/2009
49;755;5409;8/1/2012;Bajo;11;48,91;0,01;Aereo Regular;Don Jones;Nunavut;Corporativo;13/1/2012
50;769;5506;7/11/2010;Critical;22;129,62;0,05;Aereo Regular;Beth Thompson;Nunavut;Corporativo;8/11/2010
51;782;5569;29/4/2010;No Especificado;12;118,97;0,09;Aereo Regular;Frank Price;Nunavut;Corporativo;1/5/2010
52;786;5607;31/12/2011;No Especificado;8;61,8715;0;Aereo Regular;Michelle Lonsdale;Nunavut;Oficina en Hogar;3/1/2012
53;817;5894;12/8/2009;Alto;7;384,33;0,1;Aereo Regular;Ann Chong;Nunavut;Corporativo;13/8/2009
54;818;5894;12/8/2009;Alto;3;239,03;0,01;Aereo Regular;Ann Chong;Nunavut;Corporativo;15/8/2009
55;821;5925;12/11/2011;Bajo;44;3922,42;0,08;Aereo Regular;Joy Bell;Nunavut;Oficina en Hogar;19/11/2011
56;822;5925;12/11/2011;Bajo;25;1733,3625;0,07;Aereo Regular;Joy Bell;Nunavut;Oficina en Hogar;19/11/2011
57;839;6016;20/1/2012;Alto;19;208,28;0,07;Aereo Regular;Skye Norling;Nunavut;Oficina en Hogar;20/1/2012
58;853;6116;20/3/2009;Medio;6;9620,82;0,04;Aereo Regular;Barry Weirich;Nunavut;Corporativo;22/3/2009
59;863;6182;21/7/2012;Bajo;40;255,48;0,04;Aereo Regular;Grant Carroll;Nunavut;Corporativo;28/7/2012
60;864;6182;21/7/2012;Bajo;18;130,32;0,04;Aereo Express;Grant Carroll;Nunavut;Corporativo;25/7/2012
61;911;6535;12/6/2012;Critical;11;312,36;0,07;Aereo Express;Adrian Hane;Nunavut;Corporativo;15/6/2012
62;950;6884;15/1/2009;Bajo;41;217;0,01;Aereo Regular;Skye Norling;Nunavut;Oficina en Hogar;20/1/2009
63;951;6884;15/1/2009;Bajo;47;296,13;0,04;Aereo Regular;Skye Norling;Nunavut;Oficina en Hogar;20/1/2009
64;956;6916;4/6/2010;Bajo;40;436,17;0,08;Aereo Express;Andrew Gjertsen;Nunavut;Consumidor;8/6/2010
7;963;6980;18/2/2010;No Especificado;18;136,29;0,05;Aereo Regular;Ralph Knight;Nunavut;Consumidor;19/2/2010
65;964;6982;16/11/2011;No Especificado;32;1311,25;0;Aereo Express;Dorothy Wardle;Nunavut;Corporativo;18/11/2011
66;965;6982;16/11/2011;No Especificado;5;544,41;0,09;Terrestre;Dorothy Wardle;Nunavut;Corporativo;18/11/2011
67;966;6982;16/11/2011;No Especificado;41;844,09;0,04;Aereo Regular;Dorothy Wardle;Nunavut;Corporativo;18/11/2011
68;988;7110;7/8/2011;Bajo;22;6396,2;0,02;Aereo Regular;Grant Carroll;Nunavut;Corporativo;11/8/2011
69;1017;7430;8/6/2010;Medio;50;751,77;0,05;Aereo Regular;Barry Weirich;Nunavut;Corporativo;9/6/2010
70;1073;7906;17/10/2009;Medio;37;1003,06;0,03;Aereo Regular;Beth Paige;Nunavut;Consumidor;17/10/2009
71;1154;8391;28/8/2011;Alto;4;1266,72;0,04;Terrestre;Sylvia Foulston;Nunavut;Corporativo;29/8/2011
72;1156;8419;29/9/2011;Critical;19;368,04;0,07;Aereo Express;Nicole Hansen;Nunavut;PYME;1/10/2011
73;1157;8419;29/9/2011;Critical;24;152,6;0,1;Aereo Regular;Nicole Hansen;Nunavut;PYME;30/9/2011
74;1205;8833;4/5/2012;Bajo;40;3338,98;0;Aereo Regular;Nicole Hansen;Nunavut;PYME;8/5/2012
75;1226;8995;17/5/2011;Alto;5;24,16;0,08;Aereo Express;Beth Paige;Nunavut;Consumidor;18/5/2011
76;1227;8995;17/5/2011;Alto;41;270,84;0,1;Aereo Express;Beth Paige;Territorios del Noroeste;Consumidor;18/5/2011
77;1228;8995;17/5/2011;Alto;35;3389,93;0,08;Aereo Express;Beth Paige;Territorios del Noroeste;Consumidor;18/5/2011
78;1229;8995;17/5/2011;Alto;42;266,36;0,07;Aereo Regular;Beth Paige;Territorios del Noroeste;Consumidor;18/5/2011
79;1230;8995;17/5/2011;Alto;46;89,41;0,01;Aereo Regular;Beth Paige;Territorios del Noroeste;Consumidor;19/5/2011
80;1258;9126;17/11/2009;Medio;47;2799,7;0,04;Aereo Regular;Sylvia Foulston;Territorios del Noroeste;Corporativo;18/11/2009
81;1259;9127;10/10/2011;No Especificado;7;2039,56;0,04;Aereo Express;Bryan Davis;Territorios del Noroeste;Corporativo;12/10/2011
82;1299;9509;7/10/2012;No Especificado;36;12175,82;0,02;Terrestre;Joy Bell;Territorios del Noroeste;Oficina en Hogar;8/10/2012
83;1300;9509;7/10/2012;No Especificado;5;101,21;0,1;Aereo Express;Joy Bell;Territorios del Noroeste;Oficina en Hogar;8/10/2012
84;1301;9509;7/10/2012;No Especificado;32;1585,64;0,02;Aereo Regular;Joy Bell;Territorios del Noroeste;Oficina en Hogar;7/10/2012
85;1337;9763;13/8/2011;Medio;44;176,26;0,07;Aereo Regular;Alan Barnes;Territorios del Noroeste;Corporativo;16/8/2011
86;1370;9927;16/8/2011;Alto;32;4655,07;0;Terrestre;Grant Carroll;Territorios del Noroeste;Corporativo;17/8/2011
87;1371;9927;16/8/2011;Alto;44;10087,6;0,01;Aereo Regular;Grant Carroll;Territorios del Noroeste;Corporativo;17/8/2011
88;1372;9927;16/8/2011;Alto;34;1608,08;0,09;Aereo Express;Grant Carroll;Territorios del Noroeste;Corporativo;17/8/2011
89;1380;10022;4/3/2009;Bajo;1;12,18;0,06;Aereo Regular;Delfina Latchford;Territorios del Noroeste;PYME;4/3/2009
23;1445;10437;18/8/2009;Critical;50;820,52;0,01;Aereo Regular;Don Jones;Territorios del Noroeste;Corporativo;20/8/2009
90;1457;10499;16/11/2010;No Especificado;29;6250,936;0,01;Terrestre;Doug Bickford;Territorios del Noroeste;Corporativo;17/11/2010
91;1462;10535;27/5/2011;Bajo;25;854,88;0,09;Aereo Regular;Doug Bickford;Territorios del Noroeste;Corporativo;29/5/2011
92;1463;10535;27/5/2011;Bajo;46;80,27;0,09;Aereo Regular;Doug Bickford;Territorios del Noroeste;Corporativo;3/6/2011
93;1495;10789;23/8/2010;No Especificado;15;308,54;0;Aereo Express;Jamie Kunitz;Territorios del Noroeste;Corporativo;24/8/2010
94;1496;10791;19/8/2011;No Especificado;20;400,57;0,05;Aereo Regular;Anthony Johnson;Territorios del Noroeste;PYME;21/8/2011
95;1513;10945;3/1/2012;Medio;14;1170,025;0,04;Aereo Regular;Ralph Knight;Territorios del Noroeste;Consumidor;5/1/2012
96;1544;11137;29/11/2012;Alto;48;5188,86;0,1;Aereo Regular;Allen Rosenblatt;Territorios del Noroeste;PYME;30/11/2012
97;1551;11202;17/3/2012;Medio;8;339,81;0,05;Aereo Regular;Barry Weirich;Territorios del Noroeste;Corporativo;18/3/2012
98;1589;11456;12/4/2010;Bajo;15;1519,9;0,09;Aereo Regular;Doug Bickford;Territorios del Noroeste;Corporativo;19/4/2010
99;1590;11460;24/8/2010;Alto;30;102,24;0,09;Aereo Regular;Carl Jackson;Territorios del Noroeste;Oficina en Hogar;26/8/2010
100;1594;11495;4/7/2011;Alto;6;965,69;0;Terrestre;Brendan Dodson;Territorios del Noroeste;Corporativo;5/7/2011
101;1654;11911;10/11/2010;Critical;25;397,84;0;Aereo Regular;Edward Hooks;Territorios del Noroeste;Consumidor;12/11/2010
102;1655;11941;24/6/2010;Critical;4;73,07;0,08;Aereo Regular;Jamie Kunitz;Territorios del Noroeste;Corporativo;25/6/2010
103;1656;11941;24/6/2010;Critical;26;4679,1;0,05;Terrestre;Jamie Kunitz;Territorios del Noroeste;Corporativo;25/6/2010
104;1675;12096;19/9/2012;Medio;46;8009,5925;0,02;Aereo Regular;Michelle Lonsdale;Territorios del Noroeste;Oficina en Hogar;19/9/2012
105;1676;12096;19/9/2012;Medio;23;4689,66;0,01;Aereo Regular;Michelle Lonsdale;Territorios del Noroeste;Oficina en Hogar;21/9/2012
106;1710;12289;24/12/2011;Bajo;25;3019,41;0,04;Aereo Regular;Brendan Dodson;Territorios del Noroeste;Corporativo;28/12/2011
107;1718;12352;23/3/2012;Medio;5;36,86;0,07;Aereo Regular;Hunter Glantz;Territorios del Noroeste;Corporativo;24/3/2012
108;1727;12419;15/10/2011;Critical;12;22079,47;0,06;Aereo Regular;Sylvia Foulston;Territorios del Noroeste;Corporativo;17/10/2011
109;1745;12485;7/8/2010;Critical;24;5407,31;0,04;Terrestre;Eugene Barchas;Territorios del Noroeste;Oficina en Hogar;8/8/2010
110;1751;12544;3/3/2009;Bajo;34;74,3;0,08;Aereo Regular;Jim Radford;Territorios del Noroeste;Corporativo;10/3/2009
111;1770;12704;9/2/2010;Bajo;44;21506,77;0,06;Aereo Regular;Carlos Soltero;Territorios del Noroeste;PYME;9/2/2010
112;1771;12704;9/2/2010;Bajo;28;669,02;0,02;Terrestre;Carlos Soltero;Territorios del Noroeste;PYME;11/2/2010
113;1781;12771;17/1/2009;Critical;40;1143,49;0,08;Aereo Regular;Carlos Soltero;Territorios del Noroeste;PYME;17/1/2009
114;1782;12771;17/1/2009;Critical;46;78,08;0,01;Aereo Regular;Carlos Soltero;Territorios del Noroeste;PYME;19/1/2009
115;1806;12929;30/8/2010;Critical;19;5297,47;0,02;Terrestre;Jim Radford;Territorios del Noroeste;Corporativo;31/8/2010
116;1807;12929;30/8/2010;Critical;20;95,3;0;Aereo Regular;Jim Radford;Territorios del Noroeste;Corporativo;31/8/2010
64;1842;13280;11/9/2009;Alto;40;460,68;0,01;Aereo Regular;Grant Carroll;Territorios del Noroeste;PYME;12/9/2009
52;1843;13280;11/9/2009;Alto;49;318,7585;0,1;Aereo Regular;Grant Carroll;Territorios del Noroeste;PYME;12/9/2009
117;1848;13313;16/7/2009;No Especificado;47;1020,61;0,04;Aereo Regular;Skye Norling;Territorios del Noroeste;Oficina en Hogar;17/7/2009
118;1855;13346;15/11/2012;Bajo;44;268,34;0,09;Aereo Regular;Doug Bickford;Territorios del Noroeste;Corporativo;20/11/2012
119;1913;13702;10/9/2011;Bajo;6;209;0,08;Aereo Regular;Grant Carroll;Territorios del Noroeste;PYME;14/9/2011
23;1928;13795;10/4/2011;No Especificado;30;501,32;0,04;Aereo Regular;Muhammed MacIntyre;Territorios del Noroeste;PYME;13/4/2011
120;1929;13795;10/4/2011;No Especificado;23;275,16;0,05;Aereo Express;Muhammed MacIntyre;Territorios del Noroeste;PYME;13/4/2011
121;1930;13795;10/4/2011;No Especificado;37;1302,99;0,02;Aereo Regular;Muhammed MacIntyre;Territorios del Noroeste;PYME;11/4/2011
122;1978;14116;9/10/2011;Alto;1;40,1;0,09;Aereo Regular;Doug Bickford;Territorios del Noroeste;PYME;11/10/2011
123;1979;14116;9/10/2011;Alto;42;1414,05;0,09;Aereo Regular;Doug Bickford;Territorios del Noroeste;PYME;10/10/2011
124;2013;14372;23/10/2012;Critical;34;5350,61;0,09;Terrestre;Beth Thompson;Territorios del Noroeste;Corporativo;25/10/2012
125;2058;14726;8/1/2012;Bajo;15;310,87;0,07;Aereo Regular;Ralph Knight;Territorios del Noroeste;Consumidor;8/1/2012
126;2070;14819;25/1/2010;No Especificado;48;9062,73;0,09;Aereo Regular;Carl Jackson;Territorios del Noroeste;Oficina en Hogar;27/1/2010
127;2071;14819;25/1/2010;No Especificado;27;1584,1;0,07;Terrestre;Carl Jackson;Territorios del Noroeste;Oficina en Hogar;26/1/2010
6;2114;15106;27/1/2011;No Especificado;42;283,58;0,03;Aereo Regular;Dorothy Badders;Territorios del Noroeste;Oficina en Hogar;29/1/2011
128;2115;15106;27/1/2011;No Especificado;39;5403,37;0,06;Terrestre;Dorothy Badders;Territorios del Noroeste;Oficina en Hogar;27/1/2011
129;2116;15106;27/1/2011;No Especificado;35;82,15;0,03;Aereo Regular;Dorothy Badders;Territorios del Noroeste;Oficina en Hogar;29/1/2011
130;2117;15108;27/8/2009;Alto;50;2066,16;0,02;Aereo Regular;Delfina Latchford;Territorios del Noroeste;PYME;29/8/2009
131;2129;15205;17/3/2011;Critical;18;4605,36;0,02;Terrestre;Julia Oeste;Territorios del Noroeste;Corporativo;19/3/2011
132;2130;15205;17/3/2011;Critical;42;1753,51;0,02;Aereo Regular;Julia Oeste;Territorios del Noroeste;Corporativo;18/3/2011
133;2161;15591;6/6/2012;Critical;31;426,34;0;Aereo Regular;Brad Eason;Territorios del Noroeste;PYME;8/6/2012
134;2206;15907;11/4/2011;Alto;36;1837,44;0,01;Terrestre;Thomas Seio;Territorios del Noroeste;Oficina en Hogar;13/4/2011
135;2207;15907;11/4/2011;Alto;36;3722,29;0,04;Aereo Express;Thomas Seio;Territorios del Noroeste;Oficina en Hogar;14/4/2011
136;2208;15907;11/4/2011;Alto;4;28,05;0,09;Aereo Regular;Thomas Seio;Territorios del Noroeste;Oficina en Hogar;12/4/2011
137;2209;15937;6/11/2012;Bajo;32;311,44;0,04;Aereo Regular;Monica Federle;Territorios del Noroeste;Corporativo;10/11/2012
138;2210;15937;6/11/2012;Bajo;17;215,65;0,01;Aereo Express;Monica Federle;Territorios del Noroeste;Corporativo;15/11/2012
139;2221;16039;16/5/2012;Alto;3;121,12;0,1;Aereo Regular;Michelle Lonsdale;Territorios del Noroeste;Oficina en Hogar;17/5/2012
140;2246;16193;9/4/2012;No Especificado;8;300,2;0;Aereo Regular;Frank Price;Territorios del Noroeste;Corporativo;11/4/2012
141;2247;16193;9/4/2012;No Especificado;29;1364,8025;0,07;Aereo Regular;Frank Price;Territorios del Noroeste;Corporativo;11/4/2012
142;2281;16423;5/8/2012;Medio;19;128,21;0,05;Aereo Regular;Bryan Davis;Territorios del Noroeste;Corporativo;7/8/2012
143;2283;16451;22/7/2009;No Especificado;9;252,79;0,09;Aereo Regular;Don Jones;Territorios del Noroeste;Corporativo;23/7/2009
144;2294;16545;9/5/2010;No Especificado;10;50,97;0,09;Aereo Regular;Carlos Soltero;Territorios del Noroeste;PYME;11/5/2010
145;2295;16545;9/5/2010;No Especificado;1;4,99;0,04;Aereo Regular;Carlos Soltero;Territorios del Noroeste;PYME;11/5/2010
146;2296;16547;18/2/2009;No Especificado;30;10554,63;0,09;Terrestre;Nicole Hansen;Territorios del Noroeste;Corporativo;20/2/2009
147;2297;16547;18/2/2009;No Especificado;8;1749,64;0,04;Terrestre;Nicole Hansen;Territorios del Noroeste;Corporativo;18/2/2009
148;2316;16706;27/6/2012;Alto;47;1943,72;0,03;Aereo Regular;Beth Thompson;Territorios del Noroeste;Corporativo;28/6/2012
149;2317;16706;27/6/2012;Alto;6;18,37;0,01;Aereo Regular;Beth Thompson;Territorios del Noroeste;Corporativo;28/6/2012
150;2318;16706;27/6/2012;Alto;49;6175,777;0,07;Aereo Express;Beth Thompson;Territorios del Noroeste;Corporativo;29/6/2012
151;2323;16741;30/9/2010;Medio;6;157,97;0,01;Aereo Regular;Nicole Hansen;Territorios del Noroeste;PYME;1/10/2010
152;2346;16932;15/4/2010;Critical;25;144,84;0,09;Aereo Regular;Carlos Soltero;Territorios del Noroeste;Consumidor;16/4/2010
153;2347;16932;15/4/2010;Critical;20;127,16;0,09;Aereo Regular;Carlos Soltero;Territorios del Noroeste;Consumidor;15/4/2010
154;2383;17283;14/9/2011;No Especificado;4;5472,12;0,06;Terrestre;Dorothy Badders;Territorios del Noroeste;Oficina en Hogar;15/9/2011
115;2384;17286;21/9/2010;Alto;7;1810,67;0,09;Terrestre;Muhammed MacIntyre;Territorios del Noroeste;PYME;22/9/2010
155;2402;17409;17/8/2010;No Especificado;31;633,56;0,09;Aereo Regular;Muhammed MacIntyre;Territorios del Noroeste;PYME;19/8/2010
151;2445;17764;16/9/2009;Bajo;27;644,4;0,04;Aereo Regular;Don Miller;Territorios del Noroeste;Oficina en Hogar;16/9/2009
156;2483;18080;22/6/2009;Alto;7;1211,98;0,1;Terrestre;Sylvia Foulston;Territorios del Noroeste;Corporativo;23/6/2009
157;2487;18113;28/8/2012;No Especificado;27;3316,08;0,08;Terrestre;Becky Castell;Territorios del Noroeste;Consumidor;30/8/2012
158;2489;18144;7/6/2011;Critical;48;207,08;0,09;Aereo Regular;Dorothy Wardle;Territorios del Noroeste;Corporativo;9/6/2011
159;2490;18144;7/6/2011;Critical;8;234,28;0,09;Aereo Regular;Dorothy Wardle;Territorios del Noroeste;Corporativo;9/6/2011
160;2491;18144;7/6/2011;Critical;41;1779,8915;0,09;Aereo Regular;Dorothy Wardle;Territorios del Noroeste;Corporativo;9/6/2011
161;2520;18308;9/10/2009;No Especificado;30;114,12;0,05;Aereo Regular;Ann Chong;Territorios del Noroeste;Corporativo;11/10/2009
162;2521;18308;9/10/2009;No Especificado;15;436,05;0,09;Aereo Regular;Ann Chong;Territorios del Noroeste;Corporativo;9/10/2009
163;2522;18308;9/10/2009;No Especificado;49;5247,4835;0;Aereo Regular;Ann Chong;Territorios del Noroeste;Corporativo;10/10/2009
164;2615;18887;5/12/2010;No Especificado;9;173,417;0;Aereo Regular;Clay Rozendal;Territorios del Noroeste;Corporativo;7/12/2010
165;2624;19010;7/6/2009;Bajo;18;23792,93;0;Aereo Regular;Grant Carroll;Territorios del Noroeste;PYME;9/6/2009
166;2637;19078;27/7/2009;Critical;21;256,12;0,03;Aereo Regular;Brendan Dodson;Territorios del Noroeste;Corporativo;28/7/2009
167;2643;19138;5/9/2011;Bajo;30;387;0,01;Aereo Express;Carlos Daly;Territorios del Noroeste;Oficina en Hogar;10/9/2011
168;2726;19655;11/1/2009;Alto;31;1143,45;0,06;Aereo Regular;Alan Barnes;Territorios del Noroeste;Corporativo;12/1/2009
169;2727;19686;15/8/2010;Medio;2;42,31;0,06;Aereo Regular;Alan Barnes;Territorios del Noroeste;Corporativo;15/8/2010
170;2728;19686;15/8/2010;Medio;11;152,67;0,04;Aereo Regular;Alan Barnes;Territorios del Noroeste;Corporativo;17/8/2010
114;2768;20007;5/8/2009;No Especificado;49;82,61;0,08;Aereo Regular;Nicole Hansen;Territorios del Noroeste;PYME;6/8/2009
171;2782;20071;17/9/2011;Medio;31;789,94;0,1;Terrestre;Cari Schnelling;Territorios del Noroeste;Oficina en Hogar;19/9/2011
172;2796;20160;22/10/2011;Bajo;42;435,24;0,08;Aereo Express;Chad Cunningham;Territorios del Noroeste;PYME;24/10/2011
173;2811;20263;14/11/2009;Medio;8;473,7;0,05;Aereo Regular;Bryan Mills;Territorios del Noroeste;PYME;15/11/2009
174;2812;20263;14/11/2009;Medio;33;553,5625;0,08;Aereo Regular;Bryan Mills;Territorios del Noroeste;PYME;16/11/2009
114;2935;21285;3/7/2010;Medio;32;54,78;0,02;Aereo Regular;Adrian Hane;Territorios del Noroeste;Corporativo;4/7/2010
175;2936;21285;3/7/2010;Medio;47;304,83;0,1;Aereo Regular;Adrian Hane;Territorios del Noroeste;Corporativo;5/7/2010
176;2956;21383;30/1/2009;Bajo;31;16066,85;0,07;Aereo Regular;Rick Reed;Territorios del Noroeste;Consumidor;4/2/2009
177;2999;21607;15/3/2012;No Especificado;17;618,9;0,09;Aereo Regular;Heather Kirkland;Territorios del Noroeste;Oficina en Hogar;17/3/2012
178;3006;21636;10/8/2009;Bajo;35;1665,0395;0,02;Aereo Regular;Fred Wasserman;Territorios del Noroeste;Oficina en Hogar;10/8/2009
179;3052;21889;1/4/2010;Bajo;21;1049,79;0,08;Aereo Regular;Becky Castell;Territorios del Noroeste;Consumidor;8/4/2010
180;3053;21889;1/4/2010;Bajo;16;817,18;0,1;Aereo Regular;Becky Castell;Territorios del Noroeste;Consumidor;3/4/2010
51;3089;22151;31/7/2010;Alto;49;465,83;0,1;Aereo Regular;Beth Thompson;Territorios del Noroeste;Corporativo;31/7/2010
181;3110;22342;29/5/2009;Bajo;13;241,706;0;Aereo Regular;Claudia Miner;Territorios del Noroeste;PYME;5/6/2009
52;3135;22469;11/10/2010;Alto;44;275,91;0,1;Aereo Regular;Jack Lebron;Territorios del Noroeste;Corporativo;13/10/2010
182;3138;22501;18/5/2010;Alto;2;30,83;0,04;Aereo Express;Alan Barnes;Territorios del Noroeste;Corporativo;19/5/2010
183;3140;22532;8/2/2011;Critical;13;121,66;0,03;Aereo Regular;Carlos Soltero;Territorios del Noroeste;Consumidor;8/2/2011
184;3244;23264;7/12/2010;Critical;16;108,42;0,02;Aereo Regular;Clay Rozendal;Territorios del Noroeste;Corporativo;9/12/2010
185;3245;23264;7/12/2010;Critical;27;78,47;0,06;Aereo Regular;Clay Rozendal;Territorios del Noroeste;Corporativo;9/12/2010
186;3284;23488;6/1/2009;Critical;30;26133,39;0,04;Terrestre;Julia Oeste;Territorios del Noroeste;Oficina en Hogar;7/1/2009
187;3300;23584;12/3/2012;Critical;14;2671,21;0,06;Terrestre;Alan Barnes;Territorios del Noroeste;Corporativo;14/3/2012
188;3355;24007;26/8/2010;Bajo;26;531,66;0,08;Aereo Regular;Joy Bell;Territorios del Noroeste;Oficina en Hogar;2/9/2010
